Team,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl,Attend,MP.1
UC Riverside,104.0,25.0,,1277.75,639.0,3847.25,0.166,1195.5,99.25,178.25,1660.75,138.5,42.75,267.25,44.5,1499.375,21.25,25.0,,
UC Santa Barbara,106.75,11.0,,1426.75,557.0,3845.25,0.22625,1338.25,155.25,236.25,1667.25,105.5,53.25,351.75,30.75,1759.875,33.0,11.0,,
UCF,121.75,22.0,,1671.5,574.75,4475.0,0.24525,1578.25,126.25,180.0,2009.5,109.0,65.5,483.75,47.5,2105.125,46.25,22.0,,
UCLA,112.25,25.0,,1540.5,554.75,4190.0,0.23475,1460.0,129.0,216.5,1904.0,120.75,71.75,358.0,45.5,1901.75,23.0,25.0,,
UConn,113.75,12.0,,1490.75,686.5,4142.5,0.19374999999999998,1404.0,128.5,235.0,1700.5,123.25,49.75,279.0,55.75,1782.375,35.25,12.0,,
UIC,118.25,9.0,,1561.0,680.0,4388.5,0.20124999999999996,1466.25,145.25,190.75,1882.5,125.0,36.0,433.75,44.5,1935.625,29.0,9.0,,
UIW,114.0,23.0,,1275.0,531.0,3677.0,0.2019999999999999,1147.0,154.0,211.0,1414.0,192.0,51.0,300.0,33.0,1630.0,26.0,23.0,,
UMass Lowell,92.5,,,1035.0,622.0,3228.0,0.128,977.0,115.0,167.5,1262.5,144.5,26.0,247.0,47.0,1299.5,63.0,,,
UMBC,96.25,19.0,,1173.75,542.0,3406.75,0.18649999999999994,1097.75,130.0,199.5,1450.5,128.25,27.25,321.5,44.0,1466.0,24.75,19.0,,
UMES,113.75,9.0,,1296.5,514.75,3423.0,0.22649999999999995,1185.5,226.25,310.0,1377.5,185.5,55.75,333.0,55.5,1698.75,64.25,9.0,,
UMKC,110.0,,,1409.5,635.0,3971.0,0.1915,1318.0,122.5,196.5,1669.0,129.5,67.5,382.0,72.0,1790.5,20.0,,,
UNC Asheville,100.0,18.0,,1178.75,495.25,3437.25,0.19899999999999995,1082.25,139.75,181.75,1474.5,133.75,50.0,228.75,29.5,1473.375,36.75,18.0,,
UNC Greensboro,114.5,15.0,,1470.5,657.75,4301.75,0.18749999999999997,1375.0,127.25,234.0,1903.0,152.0,47.25,328.25,43.25,1809.125,40.75,15.0,,
UNCW,109.0,18.0,,1290.75,534.25,3964.25,0.19099999999999995,1185.75,148.5,204.25,1635.75,131.25,42.0,438.5,34.5,1685.5,28.25,18.0,,
UNI,127.0,18.0,,1874.0,707.75,5013.25,0.23224999999999998,1742.0,141.0,198.75,2345.0,110.25,82.25,329.75,44.0,2262.125,30.0,18.0,,
UNLV,124.0,11.0,,1566.5,643.5,4289.5,0.2145,1444.25,188.25,302.25,1727.5,148.0,54.0,422.25,57.0,2019.875,33.5,11.0,,
USC Upstate,116.75,18.0,,1343.25,621.0,4258.75,0.17025,1234.5,139.25,187.0,1820.5,174.25,52.5,338.75,44.5,1679.875,22.25,18.0,,
UT Arlington,119.0,31.0,,1481.5,627.25,4192.25,0.20325,1368.25,122.5,195.5,1839.0,136.75,43.0,374.75,36.5,1804.125,56.0,31.0,,
UT Martin,115.25,25.0,,1404.25,702.5,4126.5,0.17,1302.5,135.5,193.0,1696.0,161.75,47.5,370.75,84.0,1719.125,25.25,25.0,,
