Cenário,Retirada de Outliers,Normalização,Feature Engineering,eps,min_samples,metric,algorithm,n_clusters_kmeans,init,max_iter,n_clusters_agg,linkage,Silhouette Index,Davies Bouldin
3,True,True,True,0.027142857142857142,5.0,manhattan,brute,,,,,,-0.0405898587187208,1.6713623725700917
3,True,True,True,0.027142857142857142,5.0,cosine,auto,,,,,,,
3,True,True,True,0.027142857142857142,5.0,cosine,brute,,,,,,,
3,True,True,True,0.027142857142857142,6.0,euclidean,auto,,,,,,-0.0444629927467713,1.6901515705211505
3,True,True,True,0.027142857142857142,6.0,euclidean,ball_tree,,,,,,-0.0444629927467713,1.6901515705211505
3,True,True,True,0.027142857142857142,6.0,euclidean,kd_tree,,,,,,-0.0444629927467713,1.6901515705211505
3,True,True,True,0.027142857142857142,6.0,euclidean,brute,,,,,,-0.0444629927467713,1.6901515705211505
3,True,True,True,0.027142857142857142,6.0,manhattan,auto,,,,,,-0.0444629927467713,1.6901515705211505
3,True,True,True,0.027142857142857142,6.0,manhattan,ball_tree,,,,,,-0.0444629927467713,1.6901515705211505
3,True,True,True,0.027142857142857142,6.0,manhattan,kd_tree,,,,,,-0.0444629927467713,1.6901515705211505
3,True,True,True,0.027142857142857142,6.0,manhattan,brute,,,,,,-0.0444629927467713,1.6901515705211505
3,True,True,True,0.027142857142857142,6.0,cosine,auto,,,,,,,
3,True,True,True,0.027142857142857142,6.0,cosine,brute,,,,,,,
3,True,True,True,0.027142857142857142,7.0,euclidean,auto,,,,,,-0.0468892732351281,1.6936362704484755
3,True,True,True,0.027142857142857142,7.0,euclidean,ball_tree,,,,,,-0.0468892732351281,1.6936362704484755
3,True,True,True,0.027142857142857142,7.0,euclidean,kd_tree,,,,,,-0.0468892732351281,1.6936362704484755
3,True,True,True,0.027142857142857142,7.0,euclidean,brute,,,,,,-0.0468892732351281,1.6936362704484755
3,True,True,True,0.027142857142857142,7.0,manhattan,auto,,,,,,-0.0468892732351281,1.6936362704484755
3,True,True,True,0.027142857142857142,7.0,manhattan,ball_tree,,,,,,-0.0468892732351281,1.6936362704484755
3,True,True,True,0.027142857142857142,7.0,manhattan,kd_tree,,,,,,-0.0468892732351281,1.6936362704484755
3,True,True,True,0.027142857142857142,7.0,manhattan,brute,,,,,,-0.0468892732351281,1.6936362704484755
3,True,True,True,0.027142857142857142,7.0,cosine,auto,,,,,,,
3,True,True,True,0.027142857142857142,7.0,cosine,brute,,,,,,,
3,True,True,True,0.027142857142857142,8.0,euclidean,auto,,,,,,-0.0501257368300076,1.7280994929324065
3,True,True,True,0.027142857142857142,8.0,euclidean,ball_tree,,,,,,-0.0501257368300076,1.7280994929324065
3,True,True,True,0.027142857142857142,8.0,euclidean,kd_tree,,,,,,-0.0501257368300076,1.7280994929324065
3,True,True,True,0.027142857142857142,8.0,euclidean,brute,,,,,,-0.0501257368300076,1.7280994929324065
3,True,True,True,0.027142857142857142,8.0,manhattan,auto,,,,,,-0.0501257368300076,1.7280994929324065
3,True,True,True,0.027142857142857142,8.0,manhattan,ball_tree,,,,,,-0.0501257368300076,1.7280994929324065
3,True,True,True,0.027142857142857142,8.0,manhattan,kd_tree,,,,,,-0.0501257368300076,1.7280994929324065
3,True,True,True,0.027142857142857142,8.0,manhattan,brute,,,,,,-0.0501257368300076,1.7280994929324065
3,True,True,True,0.027142857142857142,8.0,cosine,auto,,,,,,,
